2026/1/14,發行者C,幣別,到期日,配息率,配息次數,Moody's,S&P,Fitch,價格-bid,價格-ask,殖利率,下一票息支付日,付款順位,最小申購單位,最小增額,國家,付款基礎,SETTLE_DT,ISSUE_DT,票息類型,NEXT CALL,前手息,TLAC,BICS層級1行業名稱,配息月份
ISIN,NAME_CHINESE_TRADITIONAL,CRNCY,MATURITY,COUPON,CPN_FREQ,RTG_MOODY,RTG_SP,RTG_FITCH,PX_BID,PX_ASK,YLD_YTM_ASK,NXT_CPN_DT,PAYMENT_RANK,MIN_PIECE,MIN_INCREMENT,CNTRY_ISSUE_ISO,DAY_CNT_DES,SETTLE_DT,ISSUE_DT,CPN_TYP,DS022,DS113,DT683,BI001,
USF8600KAA46,法國興業銀行股份有限公司,USD,#N/A Field Not Applicable,10,2,Ba2,BB,BB+,102.05,111.033,9.602803462,2025/11/14,Jr Subordinated,200000,1000,FR,ISMA-30/360,2025/10/2,2023/11/14,VARIABLE,2028/11/14,3.833333333,Y,金融,5月/11月
USU8035UAC63,薩索爾融資美國有限責任公司,USD,2029/5/3,8.75,2,Ba1,BB+,-,96.183,104.073,9.40802178,2025/11/3,Sr Unsecured,200000,1000,US,ISMA-30/360,2025/10/2,2023/5/3,FIXED,2029/3/3,3.621527778,N,原物料,5月/11月
US05971KAP49,西班牙國際銀行,USD,#N/A Field Not Applicable,9.625,4,Ba1,BBB-,-,102,111.954,9.377468425,2025/11/21,Jr Subordinated,200000,200000,ES,ISMA-30/360,2025/10/2,2023/11/21,VARIABLE,2028/11/21,1.096180556,Y,金融,2/5/8/11月
US05971KAQ22,西班牙國際銀行,USD,#N/A Field Not Applicable,9.625,4,Ba1,BBB-,-,103,120.827,9.302799292,2025/11/21,Jr Subordinated,200000,200000,ES,ISMA-30/360,2025/10/2,2023/11/21,VARIABLE,2033/5/21,1.096180556,Y,金融,2/5/8/11月
US50155QAM24,Kyndryl Holdings Inc,USD,2041/10/15,4.1,2,Baa2,BBB-,BBB,54.017,80.903,9.240176601,2025/10/15,Sr Unsecured,2000,1000,US,30/360,2025/10/2,2022/9/23,FIXED,2041/4/15,1.901944444,N,科技,4月/10月
USF8500RAC63,法國興業銀行股份有限公司,USD,#N/A Field Not Applicable,9.375,2,Ba2,BB,BB+,101.3,107.244,9.218608745,2025/11/22,Jr Subordinated,200000,1000,FR,ISMA-30/360,2025/10/2,2022/11/22,VARIABLE,2027/11/22,3.385416667,Y,金融,5月/11月
US534187BR92,林肯全國保險,USD,#N/A Field Not Applicable,9.25,2,Ba1,BBB-,BBB-,100.689,108.557,9.187756927,2026/3/1,Sr Unsecured,1000,1000,US,30/360,2025/10/2,2022/11/22,VARIABLE,2027/12/1,0.796527778,Not Applicable,金融,3月/9月
XS2280833307,碧桂園控股有限公司,USD,2031/1/12,3.3,2,WR,-,WD,64.683,10.905,9.068446794,2026/1/12,1st lien,200000,1000,KY,ISMA-30/360,2025/10/3,2021/1/12,FIXED,2030/10/12,0,Not Applicable,金融,1月/7月
US55903VBU61,Warnermedia Holdings Inc,USD,2052/3/15,5.141,2,Ba2 *-,BB *-,BB+ *-,61.617,74.985,8.905346994,2026/3/15,Sr Unsecured,2000,1000,US,30/360,2025/10/2,2025/6/30,FIXED,2051/9/15,0.242769444,N,通訊,3月/9月
XS2586007036,OTP Bank Nyrt,USD,2033/5/15,8.75,2,Ba2,BB,-,99.157,107.914,8.903033249,2025/11/15,Subordinated,200000,1000,HU,ISMA-30/360,2025/10/3,2023/2/15,VARIABLE,2028/2/15,3.354166667,Y,金融,5月/11月
USF2941JAA81,法國電力有限責任公司,USD,#N/A Field Not Applicable,9.125,2,Ba2,B+,BBB-,103.96,115.873,8.900352002,2025/12/15,Jr Subordinated,200000,1000,FR,ISMA-30/360,2025/10/2,2023/6/15,VARIABLE,2033/3/15,2.712152778,N,公用事業,6月/12月
USN9733XAA56,Yinson Boronia Production BV,USD,2042/7/31,8.947,2,Ba1,-,BB+,100.92,111.724,8.84655463,2026/1/31,Secured,200000,1000,NL,ISMA-30/360,2025/10/2,2024/6/4,FIXED,2040/7/31,1.540872222,N,能源,1月/7月
US29250NBT19,恩橋公司,USD,2084/1/15,8.5,2,Ba1,BBB-,BBB-,98.203,115.097,8.824179442,2026/1/15,Subordinated,2000,1000,CA,30/360,2025/10/2,2023/9/25,VARIABLE,2033/10/15,1.818055556,N,能源,1月/7月
US55903VBW28,Warnermedia Holdings Inc,USD,2042/3/15,5.05,2,Ba2 *-,BB *-,BB+,67.19,80.147,8.819605991,2026/3/15,Sr Unsecured,2000,1000,US,30/360,2025/10/2,2025/6/30,FIXED,2041/9/15,0.238472222,N,通訊,3月/9月
US279158AS81,哥倫比亞國家石油公司,USD,2033/1/13,8.875,2,Ba1,BB,BB+,99.919,108.762,8.802527908,2026/1/13,Sr Unsecured,1000,1000,CO,ISMA-30/360,2025/10/2,2023/1/13,FIXED,2032/10/13,1.947569444,N,能源,1月/7月
USH42097ES26,瑞銀集團公司,USD,#N/A Field Not Applicable,9.25,2,Baa3,BB,BBB-,103.375,110.346,8.766719689,2025/11/13,Jr Subordinated,200000,1000,CH,ISMA-30/360,2025/10/2,2023/11/13,VARIABLE,2028/11/13,3.571527778,Y,金融,5月/11月
US05890PAC05,Banco de Credito e Inversion,USD,#N/A Field Not Applicable,8.75,2,Ba1,BB+,-,103.3,108.535,8.754145068,2026/2/8,Jr Subordinated,200000,1000,CL,ISMA-30/360,2025/10/2,2024/2/8,VARIABLE,2029/5/8,1.3125,Not Applicable,金融,2月/8月
USF1067PAD80,法國巴黎銀行有限責任公司,USD,#N/A Field Not Applicable,9.25,2,Ba1,BBB-,BBB,103.25,107.542,8.737061359,2025/11/17,Jr Subordinated,200000,1000,FR,ISMA-30/360,2025/10/2,2022/11/17,VARIABLE,2027/11/17,3.46875,Y,金融,5月/11月
USL0R80QAA10,Acu Petroleo Luxembourg Sarl,USD,2032/1/13,7.5,2,Ba1,BB,BB+,91.778,102.043,8.69710652,2026/1/13,Secured,250000,1000,LU,ISMA-30/360,2025/10/2,2022/1/13,FIXED,2027/1/13,1.645833333,N,能源,1月/7月
USL02668AA66,Saavi Energia Sarl,USD,2035/2/10,8.875,2,Ba2,-,BB-,100.544,108.081,8.691641252,2026/2/10,Sr Unsecured,200000,1000,LU,ISMA-30/360,2025/10/2,2025/2/10,FIXED,2030/2/10,1.281944444,N,公用事業,2月/8月
US0641598S88,加拿大豐業銀行,USD,2082/10/27,8.625,4,Baa3,BBB-,-,100.064,106.513,8.68300498,2025/10/27,Jr Subordinated,200000,1000,CA,30/360,2025/10/2,2022/10/25,VARIABLE,2027/10/27,1.557291667,Y,金融,1/4/7/10月
XS2828830153,鳳凰集團控股公開有限公司,USD,#N/A Field Not Applicable,8.5,2,-,-,BBB+,98.265,107.619,8.595851318,2025/12/12,Jr Subordinated,200000,1000,GB,ISMA-30/360,2025/10/3,2024/6/12,VARIABLE,2029/12/12,2.620833333,Not Applicable,金融,6月/12月
USH42097ER43,瑞銀集團公司,USD,#N/A Field Not Applicable,9.25,2,Baa3,BB,BBB-,106.25,119.435,8.594175223,2025/11/13,Jr Subordinated,200000,1000,CH,ISMA-30/360,2025/10/2,2023/11/13,VARIABLE,2033/11/13,3.571527778,Y,金融,5月/11月
XS3030237120,象牙海岸政府國際債券,USD,2036/4/1,8.075,2,Ba2,BB,BB-,95.906,103.81,8.591704306,2026/4/1,Sr Unsecured,200000,1000,CI,ISMA-30/360,2025/10/3,2025/4/1,FIXED,#N/A Field Not Applicable,0.044861111,N,政府,4月/10月
XS2824215425,海岸翡翠有限公司,USD,#N/A Field Not Applicable,6.5,2,A3,-,A-,101.615,103.242,8.512917019,2025/11/30,Sr Unsecured,200000,1000,VG,ISMA-30/360 NONEOM,2025/10/3,2024/5/30,VARIABLE,2027/5/30,2.220833333,Not Applicable,金融,5月/11月
US29250NBS36,恩橋公司,USD,2084/1/15,8.25,2,Ba1,BBB-,BBB-,97.587,107.957,8.500277529,2026/1/15,Subordinated,2000,1000,CA,30/360,2025/10/2,2023/9/25,VARIABLE,2028/10/15,1.764583333,N,能源,1月/7月
US195325EQ44,哥倫比亞政府國際債券,USD,2054/11/7,8.375,2,Baa3,BB,BB+,98.68,106.494,8.458040177,2025/11/7,Sr Unsecured,200000,1000,CO,ISMA-30/360,2025/10/2,2024/11/7,FIXED,2054/5/7,3.373263889,N,政府,5月/11月
USN30707AU21,義大利國家電力金融國際公眾有,USD,2052/10/14,7.75,2,Baa1,BBB,BBB+,92.036,123.322,8.445607618,2025/10/14,Sr Unsecured,200000,1000,NL,ISMA-30/360,2025/10/2,2022/10/14,FIXED,2052/4/14,3.616666667,N,公用事業,4月/10月
US71654QCC42,墨西哥石油公司,USD,2047/9/21,6.75,2,B1,BBB,BBu *+,82.157,83.033,8.437787732,2026/3/21,Sr Unsecured,10000,1000,MX,ISMA-30/360,2025/10/2,2017/1/27,FIXED,#N/A Field Not Applicable,0.20625,N,能源,3月/9月
US53944YAV56,勞埃德銀行集團,USD,#N/A Field Not Applicable,8,4,Baa3,BB,BBB,92.375,108.782,8.362707716,2025/12/27,Jr Subordinated,200000,1000,GB,30/360,2025/10/2,2023/3/13,VARIABLE,2029/9/27,0.111111111,Y,金融,3/6/9/12月
US302491AZ88,FMC公司,USD,2055/11/1,8.45,2,Ba1,BB,BB,100.515,105.807,8.354433523,2025/11/1,Subordinated,2000,1000,US,30/360,2025/10/2,2025/5/27,VARIABLE,2030/8/1,2.934027778,N,原物料,5月/11月
USN97336AA49,Yinson Bergenia Production B,USD,2045/1/31,8.498,2,Ba1,-,BB+,101.329,107.751,8.347860865,2026/1/31,Secured,200000,1000,NL,ISMA-30/360,2025/10/2,2025/7/7,FIXED,2043/1/31,1.463544444,N,工業,1月/7月
US24906PAB58,登士柏西諾德公司,USD,2055/9/12,8.375,2,Baa3,BB,-,100.137,103.517,8.336919643,2026/3/12,Jr Subordinated,2000,1000,US,30/360,2025/10/2,2025/6/12,VARIABLE,2030/6/12,0.465277778,N,醫療保健,3月/9月
US279158AV11,哥倫比亞國家石油公司,USD,2036/1/19,8.375,2,Ba1,BB,BB+,99.89,103.787,8.29591301,2026/1/19,Sr Unsecured,1000,1000,CO,ISMA-30/360,2025/10/2,2024/1/19,FIXED,2035/10/19,1.698263889,N,能源,1月/7月
USF8500RAE20,法國興業銀行股份有限公司,USD,#N/A Field Not Applicable,8.125,2,Ba2,BB,BB+,97.614,105.101,8.288213836,2025/11/21,Jr Subordinated,200000,1000,FR,ISMA-30/360,2025/10/2,2024/11/21,VARIABLE,2029/11/21,2.956597222,Y,金融,5月/11月
US89117F8Z56,多倫多道明銀行,USD,2082/10/31,8.125,4,Baa2,BBB-,BBB+,100.385,105.814,8.276435796,2025/10/31,Jr Subordinated,200000,1000,CA,30/360,2025/10/2,2022/10/17,VARIABLE,2027/10/31,1.399305556,N,金融,1/4/7/10月
US71654QCL41,墨西哥石油公司,USD,2048/2/12,6.35,2,B1,BBB,BBu *+,79.267,79.921,8.249834887,2026/2/12,Sr Unsecured,10000,1000,MX,ISMA-30/360,2025/10/2,2018/12/18,FIXED,#N/A Field Not Applicable,0.881944444,N,能源,2月/8月
US71654QBR20,墨西哥石油公司,USD,2045/1/23,6.375,2,B1,BBB,BBu *+,80.364,81.713,8.245772708,2026/1/23,Sr Unsecured,10000,1000,MX,ISMA-30/360,2025/10/2,2014/10/21,FIXED,#N/A Field Not Applicable,1.221875,N,能源,1月/7月
USP1S81BAA64,西班牙對外銀行墨西哥商業銀行,USD,2038/6/29,8.45,2,Baa2,-,BB *+,102.068,110.99,8.215960309,2025/12/29,Subordinated,200000,1000,MX,ISMA-30/360,2025/10/2,2023/6/29,VARIABLE,2033/6/29,2.182916667,N,金融,6月/12月
USP4R21KAB22,Grupo Nutresa SA,USD,2035/5/12,9,2,Baa3,-,BB+,103.993,113.705,8.213479602,2025/11/12,Sr Unsecured,200000,1000,CO,ISMA-30/360,2025/10/2,2025/5/12,FIXED,2035/2/12,3.5,N,核心消費,5月/11月
XS2761357594,荷蘭國際集團,USD,#N/A Field Not Applicable,8,2,Ba1,-,BBB,100.266,108.894,8.211228208,2025/11/16,Jr Subordinated,200000,1000,NL,ISMA-30/360,2025/10/3,2024/2/12,VARIABLE,2030/5/16,3.044444444,Y,金融,5月/11月
USP7924AAA62,Pluspetrol SA,USD,2032/5/30,8.5,2,B1,-,BB,101.204,100.661,8.20313601,2025/11/30,Sr Unsecured,1000,1000,AR,ISMA-30/360 NONEOM,2025/10/2,2025/5/30,FIXED,2028/5/30,2.880555556,N,能源,5月/11月
US71654QAZ54,墨西哥石油公司,USD,2041/6/2,6.5,2,B1,BBB,BBu *+,83.463,87.792,8.175175079,2025/12/2,Sr Unsecured,10000,1000,MX,ISMA-30/360,2025/10/2,2011/9/30,FIXED,#N/A Field Not Applicable,2.166666667,N,能源,6月/12月
XS3000457666,西非開發銀行,USD,2055/2/13,8.2,2,Baa3,-,-,100.882,104.35,8.163489209,2026/2/13,Subordinated,200000,1000,SNAT,ISMA-30/360,2025/10/3,2025/2/13,VARIABLE,2030/2/13,1.138888889,N,政府,2月/8月
